PADStatus,NVCClass,ManageName,nCellSum
4,Nonvascular & Sparse Vascular Rock Vegetation,Department of Defense,242920
4,Nonvascular & Sparse Vascular Rock Vegetation,Private,6078
4,Nonvascular & Sparse Vascular Rock Vegetation,Regional Water Districts,11280
4,Open Rock Vegetation,Agricultural Research Service,7819
4,Open Rock Vegetation,Bureau of Indian Affairs,1429602
4,Open Rock Vegetation,Bureau of Land Management,1290
4,Open Rock Vegetation,Regional Agency Land,130
4,Open Rock Vegetation,State Fish and Wildlife,1101
4,Open Rock Vegetation,State Land Board,48179
4,Open Rock Vegetation,U.S. Fish & Wildlife Service,2269
4,Open Water,Bureau of Indian Affairs,4208335
4,Open Water,Bureau of Land Management,31
4,Open Water,Other or Unknown Federal Land,1249
4,Open Water,State Land Board,110298
4,Polar & High Montane Scrub, Grassland & Barrens,Other or Unknown State Land,422
4,Recently Disturbed or Modified,State Department of Natural Resources,82242
4,Shrub & Herb Vegetation,Bureau of Indian Affairs,58922830
4,Shrub & Herb Vegetation,Bureau of Land Management,1519
4,Shrub & Herb Vegetation,Other or Unknown Federal Land,2286
4,Shrub & Herb Vegetation,Regional Agency Land,215510
4,Shrub & Herb Vegetation,State Land Board,13704937
4,Shrub & Herb Vegetation,State Park and Recreation,832412
4,Shrub & Herb Vegetation,U.S. Fish & Wildlife Service,2020205
3,Nonvascular & Sparse Vascular Rock Vegetation,Joint,7057
3,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Natural Resources,142883
3,Open Rock Vegetation,Bureau of Reclamation,21559
3,Open Rock Vegetation,Other or Unknown State Land,52650
3,Open Rock Vegetation,State Park and Recreation,7521
3,Open Water,Army Corps of Engineers,260592
3,Open Water,Department of Defense,148596
3,Open Water,National Park Service,2658554
3,Open Water,State Department of Natural Resources,2219298
3,Open Water,Tennessee Valley Authority,131604
3,Polar & High Montane Scrub, Grassland & Barrens,State Fish and Wildlife,5736
3,Polar & High Montane Scrub, Grassland & Barrens,U.S. Fish & Wildlife Service,1
3,Recently Disturbed or Modified,City Land,98095
3,Recently Disturbed or Modified,State Department of Conservation,157756
3,Recently Disturbed or Modified,U.S. Fish & Wildlife Service,51543
3,Shrub & Herb Vegetation,Forest Service,124742352
3,Shrub & Herb Vegetation,Other,460
3,Shrub & Herb Vegetation,Private,810807
4,Agricultural & Developed Vegetation,Agricultural Research Service,35710
4,Agricultural & Developed Vegetation,Department of Energy,44272
4,Agricultural & Developed Vegetation,Regional Agency Land,35506
4,Agricultural & Developed Vegetation,U.S. Fish & Wildlife Service,764192
4,Aquatic Vegetation,Department of Defense,77
4,Aquatic Vegetation,National Park Service,290
4,Desert & Semi-Desert,City Land,2813255
4,Desert & Semi-Desert,County Land,263968
4,Desert & Semi-Desert,Other or Unknown State Land,741067
4,Desert & Semi-Desert,Unknown,124482
4,Developed & Other Human Use,County Land,831372
4,Developed & Other Human Use,Other or Unknown State Land,462256
4,Developed & Other Human Use,State Department of Natural Resources,111612
4,Forest & Woodland,Army Corps of Engineers,5904335
4,Forest & Woodland,National Park Service,3954518
4,Forest & Woodland,State Department of Natural Resources,1459046
4,Forest & Woodland,Tennessee Valley Authority,364
4,Introduced & Semi Natural Vegetation,City Land,128148
4,Introduced & Semi Natural Vegetation,Other or Unknown Local Government,1410
4,Introduced & Semi Natural Vegetation,State Department of Conservation,5933
4,Nonvascular & Sparse Vascular Rock Vegetation,County Land,7553
4,Nonvascular & Sparse Vascular Rock Vegetation,Unknown,14829
4,Open Rock Vegetation,Forest Service,124
4,Open Rock Vegetation,National Park Service,709314
4,Open Water,Other,140
4,Open Water,Private,385215
4,Open Water,Unknown,190512
4,Polar & High Montane Scrub, Grassland & Barrens,Bureau of Indian Affairs,482388
4,Polar & High Montane Scrub, Grassland & Barrens,City Land,1085
4,Polar & High Montane Scrub, Grassland & Barrens,State Department of Conservation,3
4,Recently Disturbed or Modified,Bureau of Indian Affairs,2642561
4,Recently Disturbed or Modified,State Fish and Wildlife,158973
4,Recently Disturbed or Modified,State Land Board,291191
4,Shrub & Herb Vegetation,Army Corps of Engineers,1461535
4,Shrub & Herb Vegetation,County Land,517362
4,Shrub & Herb Vegetation,Other or Unknown State Land,1565012
4,Shrub & Herb Vegetation,State Department of Natural Resources,67816
3,Open Rock Vegetation,Tennessee Valley Authority,1643
3,Open Rock Vegetation,Unknown,1443
3,Open Water,Forest Service,6200608
3,Open Water,Non-Governmental Organization,94261
3,Polar & High Montane Scrub, Grassland & Barrens,Non-Governmental Organization,21
3,Polar & High Montane Scrub, Grassland & Barrens,Private,39
3,Recently Disturbed or Modified,Agricultural Research Service,8
3,Recently Disturbed or Modified,Other or Unknown Federal Land,1203
3,Recently Disturbed or Modified,State Park and Recreation,147691
3,Recently Disturbed or Modified,Unknown,159447
3,Shrub & Herb Vegetation,Agricultural Research Service,36678
3,Shrub & Herb Vegetation,Bureau of Reclamation,967680
3,Shrub & Herb Vegetation,Joint,367263
3,Shrub & Herb Vegetation,State Park and Recreation,1215571
4,Agricultural & Developed Vegetation,American Indian Lands,84946
4,Agricultural & Developed Vegetation,State Department of Land,524596
4,Aquatic Vegetation,County Land,251
4,Desert & Semi-Desert,Department of Defense,48139491
4,Desert & Semi-Desert,Natural Resources Conservation Service,10656
4,Desert & Semi-Desert,State Department of Conservation,3
4,Desert & Semi-Desert,State Department of Natural Resources,3277
4,Developed & Other Human Use,City Land,1758191
4,Developed & Other Human Use,National Park Service,1409320
4,Developed & Other Human Use,Regional Water Districts,199788
4,Forest & Woodland,Bureau of Land Management,149
4,Forest & Woodland,Forest Service,227272
4,Forest & Woodland,Non-Governmental Organization,10710215
4,Forest & Woodland,Private,10666689
4,Forest & Woodland,State Land Board,8951088
4,Introduced & Semi Natural Vegetation,County Land,73002
4,Introduced & Semi Natural Vegetation,Natural Resources Conservation Service,1280
4,Introduced & Semi Natural Vegetation,Other or Unknown State Land,31821
4,Introduced & Semi Natural Vegetation,Regional Agency Land,18550
4,Introduced & Semi Natural Vegetation,State Department of Natural Resources,2157
4,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown Federal Land,461
4,Nonvascular & Sparse Vascular Rock Vegetation,U.S. Fish & Wildlife Service,1099
4,Open Rock Vegetation,American Indian Lands,2085
4,Open Rock Vegetation,County Land,3252
4,Open Rock Vegetation,State Department of Land,527
4,Open Rock Vegetation,State Department of Natural Resources,40
4,Open Water,American Indian Lands,1221
4,Open Water,Regional Agency Land,65384
4,Open Water,State Fish and Wildlife,87046
4,Open Water,U.S. Fish & Wildlife Service,533152
4,Polar & High Montane Scrub, Grassland & Barrens,County Land,1693
4,Polar & High Montane Scrub, Grassland & Barrens,State Department of Natural Resources,2
4,Recently Disturbed or Modified,Other or Unknown Local Government,12270
4,Recently Disturbed or Modified,Regional Water Districts,533408
4,Recently Disturbed or Modified,State Department of Land,138511
4,Shrub & Herb Vegetation,City Land,594677
4,Shrub & Herb Vegetation,National Oceanic and Atmospheric Administration,4073
4,Shrub & Herb Vegetation,National Park Service,778334
4,Shrub & Herb Vegetation,Regional Water Districts,1233868
3,Introduced & Semi Natural Vegetation,State Park and Recreation,61843
3,Nonvascular & Sparse Vascular Rock Vegetation,American Indian Lands,152
3,Nonvascular & Sparse Vascular Rock Vegetation,Bureau of Reclamation,3393
3,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown Federal Land,5
3,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown Local Government,14
3,Nonvascular & Sparse Vascular Rock Vegetation,Regional Water Districts,34428
3,Open Rock Vegetation,Bureau of Land Management,3950730
3,Open Rock Vegetation,City Land,4100
3,Open Rock Vegetation,State Land Board,149280
3,Open Water,Agricultural Research Service,933
3,Open Water,Bureau of Land Management,14864036
3,Open Water,State Fish and Wildlife,1095308
3,Open Water,State Land Board,227388
3,Polar & High Montane Scrub, Grassland & Barrens,Other or Unknown State Land,15402
3,Recently Disturbed or Modified,Army Corps of Engineers,7250
3,Recently Disturbed or Modified,Bureau of Reclamation,2304
3,Recently Disturbed or Modified,National Park Service,82102
3,Recently Disturbed or Modified,State Department of Natural Resources,2936022
3,Shrub & Herb Vegetation,Bureau of Land Management,59609361
3,Shrub & Herb Vegetation,State Land Board,16710125
4,Agricultural & Developed Vegetation,National Park Service,1197152
4,Agricultural & Developed Vegetation,Other or Unknown State Land,2575054
4,Desert & Semi-Desert,Agricultural Research Service,92592
4,Desert & Semi-Desert,American Indian Lands,8123
4,Desert & Semi-Desert,Bureau of Reclamation,397831
4,Desert & Semi-Desert,Other or Unknown Local Government,564
4,Desert & Semi-Desert,Regional Water Districts,248
4,Desert & Semi-Desert,State Department of Land,26710456
4,Desert & Semi-Desert,State Park and Recreation,685331
4,Developed & Other Human Use,Bureau of Indian Affairs,5090088
4,Developed & Other Human Use,Bureau of Land Management,30
4,Developed & Other Human Use,Other or Unknown Federal Land,12762
4,Developed & Other Human Use,Regional Agency Land,90222
4,Developed & Other Human Use,State Land Board,494065
4,Developed & Other Human Use,U.S. Fish & Wildlife Service,90755
4,Forest & Woodland,City Land,1895160
4,Forest & Woodland,State Department of Conservation,3814335
4,Introduced & Semi Natural Vegetation,Department of Defense,526153
4,Introduced & Semi Natural Vegetation,National Park Service,50550
4,Introduced & Semi Natural Vegetation,Private,36339
4,Introduced & Semi Natural Vegetation,Tennessee Valley Authority,16
4,Nonvascular & Sparse Vascular Rock Vegetation,Agricultural Research Service,217
4,Nonvascular & Sparse Vascular Rock Vegetation,Bureau of Reclamation,875
4,Nonvascular & Sparse Vascular Rock Vegetation,National Park Service,9498
4,Nonvascular & Sparse Vascular Rock Vegetation,Natural Resources Conservation Service,720
4,Nonvascular & Sparse Vascular Rock Vegetation,Non-Governmental Organization,21690
4,Nonvascular & Sparse Vascular Rock Vegetation,Regional Agency Land,288
4,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Conservation,5309
4,Open Rock Vegetation,City Land,1592
4,Open Rock Vegetation,Department of Energy,734
4,Open Rock Vegetation,Other or Unknown Local Government,54
4,Open Water,Agricultural Research Service,4235
4,Open Water,Natural Resources Conservation Service,4392
4,Open Water,State Department of Conservation,279275
4,Recently Disturbed or Modified,Army Corps of Engineers,251841
4,Recently Disturbed or Modified,Department of Defense,1134516
4,Recently Disturbed or Modified,Forest Service,18872
4,Recently Disturbed or Modified,National Park Service,69990
4,Recently Disturbed or Modified,Other,124
4,Recently Disturbed or Modified,Private,138846
4,Recently Disturbed or Modified,Tennessee Valley Authority,200
4,Shrub & Herb Vegetation,Natural Resources Conservation Service,64832
4,Shrub & Herb Vegetation,Non-Governmental Organization,2739444
4,Shrub & Herb Vegetation,Other or Unknown Local Government,6920
4,Shrub & Herb Vegetation,State Department of Conservation,80972
4,Shrub & Herb Vegetation,State Department of Land,1545992
3,Introduced & Semi Natural Vegetation,County Land,10486
3,Introduced & Semi Natural Vegetation,Other or Unknown Local Government,2
3,Nonvascular & Sparse Vascular Rock Vegetation,County Land,9175
3,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown State Land,4663
3,Nonvascular & Sparse Vascular Rock Vegetation,Unknown,22086
3,Open Rock Vegetation,Forest Service,4453066
3,Open Rock Vegetation,National Park Service,32204
3,Open Rock Vegetation,State Department of Land,1731
3,Open Water,Private,485304
3,Open Water,Unknown,198180
3,Polar & High Montane Scrub, Grassland & Barrens,Bureau of Land Management,276578
3,Polar & High Montane Scrub, Grassland & Barrens,City Land,19179
3,Polar & High Montane Scrub, Grassland & Barrens,County Land,117
3,Polar & High Montane Scrub, Grassland & Barrens,State Land Board,9778
3,Recently Disturbed or Modified,Bureau of Land Management,5103651
3,Recently Disturbed or Modified,Joint,283976
3,Recently Disturbed or Modified,State Fish and Wildlife,464288
3,Recently Disturbed or Modified,State Land Board,615062
3,Shrub & Herb Vegetation,Army Corps of Engineers,21868
3,Shrub & Herb Vegetation,Department of Defense,52748
3,Shrub & Herb Vegetation,Other or Unknown State Land,2506808
3,Shrub & Herb Vegetation,State Department of Natural Resources,10093979
3,Shrub & Herb Vegetation,Tennessee Valley Authority,1459
4,Agricultural & Developed Vegetation,Bureau of Indian Affairs,35851963
4,Agricultural & Developed Vegetation,City Land,511722
4,Agricultural & Developed Vegetation,National Oceanic and Atmospheric Administration,98
4,Agricultural & Developed Vegetation,Other or Unknown Local Government,109726
4,Agricultural & Developed Vegetation,State Department of Conservation,823799
4,Desert & Semi-Desert,Department of Energy,5461074
4,Desert & Semi-Desert,Joint,165051
4,Desert & Semi-Desert,State Fish and Wildlife,105903
4,Developed & Other Human Use,Forest Service,6510
4,Developed & Other Human Use,Other,790
4,Forest & Woodland,Unknown,3795624
4,Introduced & Semi Natural Vegetation,Agricultural Research Service,33
4,Introduced & Semi Natural Vegetation,Department of Energy,61159
4,Introduced & Semi Natural Vegetation,Joint,1097688
4,Introduced & Semi Natural Vegetation,State Fish and Wildlife,3199
4,Introduced & Semi Natural Vegetation,U.S. Fish & Wildlife Service,60607
4,Nonvascular & Sparse Vascular Rock Vegetation,Army Corps of Engineers,74377
4,Nonvascular & Sparse Vascular Rock Vegetation,Joint,3358
4,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Natural Resources,3473
4,Nonvascular & Sparse Vascular Rock Vegetation,State Fish and Wildlife,18329
4,Open Rock Vegetation,Bureau of Reclamation,210
4,Open Rock Vegetation,Other or Unknown State Land,7299
4,Open Water,Army Corps of Engineers,16298809
4,Open Water,Department of Defense,320325
4,Open Water,Other or Unknown State Land,5307585
4,Open Water,State Department of Natural Resources,174649
4,Open Water,Tennessee Valley Authority,5875
4,Polar & High Montane Scrub, Grassland & Barrens,Department of Energy,38
4,Polar & High Montane Scrub, Grassland & Barrens,State Fish and Wildlife,2
4,Polar & High Montane Scrub, Grassland & Barrens,U.S. Fish & Wildlife Service,9
4,Recently Disturbed or Modified,City Land,114041
4,Recently Disturbed or Modified,Natural Resources Conservation Service,11304
4,Recently Disturbed or Modified,Other or Unknown Federal Land,265
4,Recently Disturbed or Modified,State Department of Conservation,97298
4,Recently Disturbed or Modified,U.S. Fish & Wildlife Service,18913
4,Shrub & Herb Vegetation,Forest Service,46636
4,Shrub & Herb Vegetation,Other,1609
3,Forest & Woodland,Private,4029249
3,Forest & Woodland,State Park and Recreation,6030633
3,Introduced & Semi Natural Vegetation,State Department of Conservation,15164
3,Nonvascular & Sparse Vascular Rock Vegetation,National Park Service,16628
3,Nonvascular & Sparse Vascular Rock Vegetation,Natural Resources Conservation Service,16
3,Nonvascular & Sparse Vascular Rock Vegetation,Other,315
3,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Land,64
3,Nonvascular & Sparse Vascular Rock Vegetation,State Fish and Wildlife,46920
3,Open Rock Vegetation,Regional Water Districts,12
3,Open Rock Vegetation,State Department of Natural Resources,665888
3,Open Water,American Indian Lands,12924
3,Open Water,Natural Resources Conservation Service,612
3,Open Water,Regional Water Districts,1030272
3,Open Water,State Department of Land,106877
3,Polar & High Montane Scrub, Grassland & Barrens,State Department of Natural Resources,3000
3,Recently Disturbed or Modified,American Indian Lands,3277
3,Recently Disturbed or Modified,Natural Resources Conservation Service,14468
3,Recently Disturbed or Modified,Other or Unknown Local Government,46
3,Recently Disturbed or Modified,State Department of Land,344404
3,Shrub & Herb Vegetation,American Indian Lands,1804
3,Shrub & Herb Vegetation,City Land,1525652
3,Shrub & Herb Vegetation,Other or Unknown Local Government,82
3,Shrub & Herb Vegetation,Regional Water Districts,3366516
3,Shrub & Herb Vegetation,State Department of Land,945209
4,Agricultural & Developed Vegetation,Department of Defense,1376925
4,Agricultural & Developed Vegetation,Forest Service,59652
4,Agricultural & Developed Vegetation,Joint,6556974
4,Agricultural & Developed Vegetation,Other or Unknown Federal Land,2220
4,Agricultural & Developed Vegetation,Private,2910492
4,Agricultural & Developed Vegetation,State Park and Recreation,166307
4,Agricultural & Developed Vegetation,Tennessee Valley Authority,285
4,Agricultural & Developed Vegetation,Unknown,2215821
4,Desert & Semi-Desert,Army Corps of Engineers,148878
4,Developed & Other Human Use,Department of Defense,3983702
4,Developed & Other Human Use,Joint,886602
4,Developed & Other Human Use,Private,1053249
4,Developed & Other Human Use,State Park and Recreation,127731
4,Developed & Other Human Use,Tennessee Valley Authority,124
4,Developed & Other Human Use,Unknown,395034
4,Forest & Woodland,County Land,1956992
4,Forest & Woodland,Other or Unknown State Land,3888085
4,Forest & Woodland,Regional Agency Land,377306
4,Forest & Woodland,U.S. Fish & Wildlife Service,568296
4,Introduced & Semi Natural Vegetation,Other or Unknown Federal Land,118
4,Introduced & Semi Natural Vegetation,State Park and Recreation,61424
4,Introduced & Semi Natural Vegetation,Unknown,20826
4,Nonvascular & Sparse Vascular Rock Vegetation,Department of Energy,4432
4,Nonvascular & Sparse Vascular Rock Vegetation,Forest Service,1178
4,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown Local Government,1440
4,Nonvascular & Sparse Vascular Rock Vegetation,State Park and Recreation,6760
4,Nonvascular & Sparse Vascular Rock Vegetation,Tennessee Valley Authority,521
4,Open Rock Vegetation,Army Corps of Engineers,95315
4,Open Rock Vegetation,Non-Governmental Organization,19257
4,Open Water,Bureau of Reclamation,6877
4,Open Water,Department of Energy,23457
4,Open Water,Forest Service,2652
4,Open Water,Other or Unknown Local Government,8828
4,Open Water,State Park and Recreation,286418
4,Polar & High Montane Scrub, Grassland & Barrens,Non-Governmental Organization,2277
4,Polar & High Montane Scrub, Grassland & Barrens,State Land Board,156
4,Recently Disturbed or Modified,Bureau of Reclamation,8376
4,Recently Disturbed or Modified,Department of Energy,522346
4,Recently Disturbed or Modified,State Park and Recreation,89469
4,Shrub & Herb Vegetation,Agricultural Research Service,210114
4,Shrub & Herb Vegetation,Bureau of Reclamation,15200
4,Shrub & Herb Vegetation,Department of Energy,123821
1,Agricultural & Developed Vegetation,Department of Defense,43
1,Agricultural & Developed Vegetation,Forest Service,46936
1,Agricultural & Developed Vegetation,Joint,5154
1,Agricultural & Developed Vegetation,Private,924045
1,Agricultural & Developed Vegetation,State Park and Recreation,76594
1,Agricultural & Developed Vegetation,Tennessee Valley Authority,488
1,Desert & Semi-Desert,Non-Governmental Organization,12429
1,Developed & Other Human Use,Department of Defense,121
1,Developed & Other Human Use,Forest Service,153184
1,Developed & Other Human Use,Joint,4340
1,Developed & Other Human Use,Private,306114
1,Developed & Other Human Use,State Department of Conservation,19651
1,Developed & Other Human Use,State Park and Recreation,86104
1,Developed & Other Human Use,Tennessee Valley Authority,423
1,Developed & Other Human Use,Unknown,22881
1,Forest & Woodland,County Land,185809
1,Forest & Woodland,National Park Service,60208308
1,Forest & Woodland,Regional Agency Land,2962
1,Forest & Woodland,State Fish and Wildlife,121368
1,Forest & Woodland,U.S. Fish & Wildlife Service,4317688
1,Introduced & Semi Natural Vegetation,Forest Service,428880
1,Introduced & Semi Natural Vegetation,State Park and Recreation,17546
1,Nonvascular & Sparse Vascular Rock Vegetation,Forest Service,520126
1,Open Rock Vegetation,Bureau of Land Management,21234
1,Open Rock Vegetation,Non-Governmental Organization,94
1,Open Water,Forest Service,2953946
1,Polar & High Montane Scrub, Grassland & Barrens,Bureau of Land Management,76107
1,Recently Disturbed or Modified,State Park and Recreation,31550
2,Agricultural & Developed Vegetation,County Land,219627
2,Agricultural & Developed Vegetation,U.S. Fish & Wildlife Service,3542140
2,Aquatic Vegetation,County Land,31
2,Aquatic Vegetation,National Park Service,494
2,Aquatic Vegetation,State Fish and Wildlife,3693
2,Desert & Semi-Desert,Forest Service,3058482
2,Desert & Semi-Desert,Natural Resources Conservation Service,1920664
2,Desert & Semi-Desert,State Department of Land,370818
2,Developed & Other Human Use,City Land,140432
2,Developed & Other Human Use,Regional Water Districts,296744
2,Developed & Other Human Use,U.S. Fish & Wildlife Service,655352
2,Forest & Woodland,Bureau of Land Management,21149295
2,Forest & Woodland,Joint,2511558
2,Forest & Woodland,State Land Board,9362
2,Forest & Woodland,Tennessee Valley Authority,52543
2,Introduced & Semi Natural Vegetation,County Land,26820
2,Introduced & Semi Natural Vegetation,Other or Unknown State Land,78208
2,Introduced & Semi Natural Vegetation,Regional Agency Land,410
2,Introduced & Semi Natural Vegetation,U.S. Fish & Wildlife Service,375286
2,Nonvascular & Sparse Vascular Rock Vegetation,Army Corps of Engineers,205
2,Nonvascular & Sparse Vascular Rock Vegetation,U.S. Fish & Wildlife Service,53777
2,Open Rock Vegetation,Natural Resources Conservation Service,15060
2,Open Rock Vegetation,State Department of Land,6
2,Open Water,National Park Service,8481304
2,Open Water,State Fish and Wildlife,1617599
2,Open Water,U.S. Fish & Wildlife Service,6393996
2,Polar & High Montane Scrub, Grassland & Barrens,Natural Resources Conservation Service,1996
2,Recently Disturbed or Modified,National Park Service,755876
2,Recently Disturbed or Modified,State Fish and Wildlife,632277
2,Shrub & Herb Vegetation,Army Corps of Engineers,23047
2,Shrub & Herb Vegetation,National Park Service,3768906
2,Shrub & Herb Vegetation,State Fish and Wildlife,3722235
3,Agricultural & Developed Vegetation,American Indian Lands,2690
3,Agricultural & Developed Vegetation,Regional Water Districts,4502500
3,Agricultural & Developed Vegetation,State Department of Natural Resources,4584129
3,Aquatic Vegetation,County Land,56
3,Aquatic Vegetation,Other or Unknown State Land,352
3,Aquatic Vegetation,Regional Agency Land,2
3,Desert & Semi-Desert,Department of Defense,5
3,Desert & Semi-Desert,Forest Service,126229292
3,Desert & Semi-Desert,Joint,3973
3,Desert & Semi-Desert,Private,17646
3,Developed & Other Human Use,American Indian Lands,707
3,Developed & Other Human Use,City Land,1210914
3,Developed & Other Human Use,Regional Water Districts,812840
3,Forest & Woodland,Bureau of Land Management,105745428
3,Forest & Woodland,Non-Governmental Organization,3885805
3,Forest & Woodland,State Land Board,5735835
3,Introduced & Semi Natural Vegetation,Bureau of Land Management,10754163
3,Introduced & Semi Natural Vegetation,Other or Unknown State Land,300240
3,Introduced & Semi Natural Vegetation,State Department of Natural Resources,849936
3,Introduced & Semi Natural Vegetation,State Land Board,393132
3,Nonvascular & Sparse Vascular Rock Vegetation,U.S. Fish & Wildlife Service,33589
3,Open Rock Vegetation,Regional Agency Land,352
3,Open Rock Vegetation,State Department of Conservation,90
3,Open Water,County Land,271315
3,Open Water,Other or Unknown State Land,1944998
3,Open Water,Regional Agency Land,70360
3,Open Water,U.S. Fish & Wildlife Service,826676
3,Polar & High Montane Scrub, Grassland & Barrens,State Department of Conservation,1829
3,Polar & High Montane Scrub, Grassland & Barrens,State Department of Land,942
3,Recently Disturbed or Modified,County Land,140565
3,Recently Disturbed or Modified,Other or Unknown State Land,622930
3,Recently Disturbed or Modified,Regional Agency Land,2718
3,Shrub & Herb Vegetation,County Land,736432
3,Shrub & Herb Vegetation,National Park Service,3270810
3,Shrub & Herb Vegetation,Regional Agency Land,618186
3,Shrub & Herb Vegetation,State Fish and Wildlife,6535383
4,Agricultural & Developed Vegetation,Army Corps of Engineers,1196100
4,Agricultural & Developed Vegetation,Bureau of Land Management,764
4,Agricultural & Developed Vegetation,Bureau of Reclamation,34128
4,Agricultural & Developed Vegetation,Non-Governmental Organization,3084697
4,Agricultural & Developed Vegetation,State Land Board,902577
4,Aquatic Vegetation,Non-Governmental Organization,99
4,Desert & Semi-Desert,Other or Unknown Federal Land,2
4,Desert & Semi-Desert,U.S. Fish & Wildlife Service,162446
4,Developed & Other Human Use,Agricultural Research Service,12072
4,Developed & Other Human Use,Army Corps of Engineers,604462
4,Developed & Other Human Use,Bureau of Reclamation,30592
4,Developed & Other Human Use,Department of Energy,126425
4,Forest & Woodland,National Oceanic and Atmospheric Administration,957
4,Forest & Woodland,Natural Resources Conservation Service,164600
4,Forest & Woodland,Other,4823
4,Forest & Woodland,Regional Water Districts,3618000
4,Forest & Woodland,State Department of Land,6252511
4,Introduced & Semi Natural Vegetation,Army Corps of Engineers,127160
4,Introduced & Semi Natural Vegetation,Non-Governmental Organization,90871
4,Introduced & Semi Natural Vegetation,Other,531
4,Nonvascular & Sparse Vascular Rock Vegetation,Bureau of Indian Affairs,935089
4,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown State Land,7729
4,Nonvascular & Sparse Vascular Rock Vegetation,State Land Board,5581
4,Open Rock Vegetation,Department of Defense,26976
4,Open Rock Vegetation,Joint,560
4,Open Rock Vegetation,Private,30285
4,Open Rock Vegetation,State Park and Recreation,73737
4,Open Rock Vegetation,Unknown,534
4,Open Water,Joint,325071
4,Open Water,Non-Governmental Organization,199662
4,Polar & High Montane Scrub, Grassland & Barrens,Department of Defense,5611
4,Polar & High Montane Scrub, Grassland & Barrens,Forest Service,1948
4,Polar & High Montane Scrub, Grassland & Barrens,Private,43221
4,Polar & High Montane Scrub, Grassland & Barrens,State Park and Recreation,34048
4,Polar & High Montane Scrub, Grassland & Barrens,Unknown,4923
4,Recently Disturbed or Modified,Joint,207537
4,Recently Disturbed or Modified,Non-Governmental Organization,510322
4,Recently Disturbed or Modified,Unknown,194223
4,Shrub & Herb Vegetation,Department of Defense,13166306
4,Shrub & Herb Vegetation,Joint,4284720
4,Shrub & Herb Vegetation,Private,3782688
4,Shrub & Herb Vegetation,Unknown,638403
1,Agricultural & Developed Vegetation,County Land,15648
1,Agricultural & Developed Vegetation,State Fish and Wildlife,15649
1,Aquatic Vegetation,County Land,100
1,Desert & Semi-Desert,Forest Service,17642880
1,Developed & Other Human Use,City Land,10212
1,Forest & Woodland,Bureau of Land Management,6955002
1,Forest & Woodland,Department of Defense,1455
1,Forest & Woodland,State Land Board,796
1,Forest & Woodland,State Park and Recreation,2875324
1,Nonvascular & Sparse Vascular Rock Vegetation,U.S. Fish & Wildlife Service,40966
1,Open Water,National Park Service,7273240
1,Open Water,Regional Water Districts,24
1,Open Water,State Fish and Wildlife,4532
1,Open Water,U.S. Fish & Wildlife Service,5564352
1,Recently Disturbed or Modified,City Land,6495
1,Recently Disturbed or Modified,County Land,8697
1,Recently Disturbed or Modified,National Park Service,3638140
1,Recently Disturbed or Modified,Regional Water Districts,4508
1,Shrub & Herb Vegetation,City Land,4082
2,Agricultural & Developed Vegetation,Department of Defense,178
2,Agricultural & Developed Vegetation,Other or Unknown Federal Land,5040
2,Agricultural & Developed Vegetation,State Park and Recreation,140139
2,Agricultural & Developed Vegetation,Tennessee Valley Authority,7550
2,Desert & Semi-Desert,Non-Governmental Organization,3770438
2,Developed & Other Human Use,Bureau of Land Management,364487
2,Developed & Other Human Use,Department of Defense,15
2,Developed & Other Human Use,Joint,85811
2,Developed & Other Human Use,State Department of Natural Resources,592029
2,Developed & Other Human Use,State Land Board,1006
2,Developed & Other Human Use,State Park and Recreation,266493
2,Developed & Other Human Use,Tennessee Valley Authority,1242
2,Forest & Woodland,National Park Service,14169950
2,Forest & Woodland,Other,1432
2,Forest & Woodland,Regional Water Districts,2005756
2,Forest & Woodland,State Fish and Wildlife,12011044
2,Forest & Woodland,U.S. Fish & Wildlife Service,10606934
2,Introduced & Semi Natural Vegetation,Forest Service,33098
2,Introduced & Semi Natural Vegetation,Non-Governmental Organization,195303
2,Nonvascular & Sparse Vascular Rock Vegetation,County Land,6129
2,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown Local Government,692
2,Nonvascular & Sparse Vascular Rock Vegetation,Other or Unknown State Land,15206
2,Nonvascular & Sparse Vascular Rock Vegetation,State Department of Conservation,25795
2,Open Rock Vegetation,Forest Service,231618
2,Open Rock Vegetation,Non-Governmental Organization,79144
2,Open Rock Vegetation,Private,8166
2,Open Water,Bureau of Reclamation,49177
2,Open Water,Other or Unknown Local Government,2336
2,Open Water,Private,111033
2,Open Water,State Department of Conservation,1145414
2,Polar & High Montane Scrub, Grassland & Barrens,Bureau of Land Management,208437
2,Polar & High Montane Scrub, Grassland & Barrens,Forest Service,552372
